case_id,scramble_k,algorithm,solved,cost,expanded,max_fringe,time_ms,peak_mem_bytes
0,5,A*_H0,True,5.0,1378,744,6.46,
0,5,A*_H1,True,5.0,60,48,0.74,
0,5,BFS,True,5.0,718,385,12.23,142684
1,5,A*_H0,True,3.0,141,100,0.45,
1,5,A*_H1,True,3.0,15,13,0.18,
1,5,BFS,True,3.0,106,71,0.97,9864
2,5,A*_H0,True,3.0,192,132,0.83,
2,5,A*_H1,True,3.0,25,21,0.46,
2,5,BFS,True,3.0,121,79,1.79,9856
3,5,A*_H0,True,3.0,111,78,0.6,
3,5,A*_H1,True,3.0,15,13,0.26,
3,5,BFS,True,3.0,84,55,0.85,6680
4,5,A*_H0,True,3.0,111,78,0.36,
4,5,A*_H1,True,3.0,15,13,0.17,
4,5,BFS,True,3.0,84,55,0.72,6672
5,5,A*_H0,True,1.0,15,13,0.05,
5,5,A*_H1,True,1.0,6,6,0.07,
5,5,BFS,True,1.0,19,16,0.12,3344
6,5,A*_H0,True,3.0,192,132,0.58,
6,5,A*_H1,True,3.0,25,21,0.28,
6,5,BFS,True,3.0,121,79,1.0,9824
7,5,A*_H0,True,1.0,15,13,0.04,
7,5,A*_H1,True,1.0,6,6,0.07,
7,5,BFS,True,1.0,19,16,0.1,3320
8,5,A*_H0,True,3.0,159,110,0.48,
8,5,A*_H1,True,3.0,21,18,0.23,
8,5,BFS,True,3.0,107,69,0.89,10472
9,5,A*_H0,True,3.0,277,194,0.85,
9,5,A*_H1,True,3.0,16,14,0.18,
9,5,BFS,True,3.0,169,109,2.01,11264
10,10,A*_H0,True,4.0,359,236,1.36,
10,10,A*_H1,True,4.0,21,17,0.41,
10,10,BFS,True,4.0,231,142,2.45,19792
11,10,A*_H0,True,4.0,554,371,1.76,
11,10,A*_H1,True,4.0,19,16,0.22,
11,10,BFS,True,4.0,322,200,3.43,23600
12,10,A*_H0,True,4.0,243,170,1.47,
12,10,A*_H1,True,4.0,23,19,0.46,
12,10,BFS,True,4.0,165,106,2.6,11200
13,10,A*_H0,True,4.0,554,371,2.24,
13,10,A*_H1,True,4.0,19,16,0.22,
13,10,BFS,True,4.0,322,200,3.49,23584
14,10,A*_H0,True,4.0,340,227,1.08,
14,10,A*_H1,True,4.0,17,14,0.2,
14,10,BFS,True,4.0,222,140,2.45,20488
15,10,A*_H0,True,6.0,1893,1036,10.15,
15,10,A*_H1,True,6.0,70,49,0.76,
15,10,BFS,True,6.0,1030,556,16.42,121708
16,10,A*_H0,False,0.0,0,0,0.01,
16,10,A*_H1,False,0.0,0,0,0.02,
16,10,BFS,False,0.0,5,5,0.04,2712
17,10,A*_H0,True,4.0,281,198,0.89,
17,10,A*_H1,True,4.0,21,18,0.23,
17,10,BFS,True,4.0,184,120,1.55,20376
18,10,A*_H0,True,6.0,3686,2157,13.93,
18,10,A*_H1,True,6.0,79,59,0.84,
18,10,BFS,True,6.0,2083,1170,39.48,293924
19,10,A*_H0,False,0.0,0,0,0.01,
19,10,A*_H1,False,0.0,0,0,0.03,
19,10,BFS,False,0.0,5,5,0.08,2688
20,15,A*_H0,True,11.0,130504,61886,979.57,
20,15,A*_H1,True,11.0,2429,1395,35.1,
20,15,BFS,True,11.0,64017,29401,1600.07,18378836
21,15,A*_H0,True,9.0,15183,7729,78.45,
21,15,A*_H1,True,9.0,199,137,2.35,
21,15,BFS,True,9.0,8028,4013,146.41,1931348
22,15,A*_H0,True,7.0,4685,2626,17.48,
22,15,A*_H1,True,7.0,121,89,1.35,
22,15,BFS,True,7.0,2526,1380,37.77,332820
23,15,A*_H0,True,3.0,227,157,0.68,
23,15,A*_H1,True,3.0,25,22,0.26,
23,15,BFS,True,3.0,145,93,1.22,9912
24,15,A*_H0,True,9.0,34685,17729,158.3,
24,15,A*_H1,True,9.0,477,278,5.26,
24,15,BFS,True,9.0,17925,9027,340.32,4851300
25,15,A*_H0,True,7.0,5344,3003,23.0,
25,15,A*_H1,True,7.0,169,122,1.78,
25,15,BFS,True,7.0,2882,1573,43.51,531948
26,15,A*_H0,True,5.0,1309,781,4.82,
26,15,A*_H1,True,5.0,43,34,0.56,
26,15,BFS,True,5.0,740,423,9.15,95156
27,15,A*_H0,True,11.0,72386,36117,337.3,
27,15,A*_H1,True,11.0,2781,1628,31.2,
27,15,BFS,True,11.0,36398,17753,843.0,10189804
28,15,A*_H0,True,9.0,24244,12390,118.24,
28,15,A*_H1,True,9.0,369,247,4.03,
28,15,BFS,True,9.0,12556,6349,273.73,3366388
29,15,A*_H0,True,7.0,7330,3954,33.87,
29,15,A*_H1,True,7.0,102,81,1.21,
29,15,BFS,True,7.0,3972,2129,66.56,768980
