case_id,scramble_k,heuristic,solved,cost,expanded,max_fringe,time_ms
0,5,H0,True,5.0,1378,744,5.65
0,5,H1,True,5.0,60,48,0.64
1,5,H0,True,3.0,141,100,0.41
1,5,H1,True,3.0,15,13,0.17
2,5,H0,True,3.0,192,132,0.57
2,5,H1,True,3.0,25,21,0.27
3,5,H0,True,3.0,111,78,0.31
3,5,H1,True,3.0,15,13,0.15
4,5,H0,True,3.0,111,78,0.29
4,5,H1,True,3.0,15,13,0.14
5,5,H0,True,1.0,15,13,0.03
5,5,H1,True,1.0,6,6,0.06
6,5,H0,True,3.0,192,132,0.45
6,5,H1,True,3.0,25,21,0.22
7,5,H0,True,1.0,15,13,0.04
7,5,H1,True,1.0,6,6,0.06
8,5,H0,True,3.0,159,110,0.37
8,5,H1,True,3.0,21,18,0.16
9,5,H0,True,3.0,277,194,0.56
9,5,H1,True,3.0,16,14,0.12
10,5,H0,True,5.0,1309,781,3.35
10,5,H1,True,5.0,43,34,0.35
11,5,H0,True,3.0,277,194,0.69
11,5,H1,True,3.0,16,14,0.14
12,5,H0,True,1.0,17,15,0.03
12,5,H1,True,1.0,7,7,0.08
13,5,H0,True,3.0,277,194,0.64
13,5,H1,True,3.0,16,14,0.14
14,5,H0,True,1.0,15,13,0.03
14,5,H1,True,1.0,6,6,0.06
15,5,H0,True,3.0,192,132,0.44
15,5,H1,True,3.0,25,21,0.23
16,5,H0,True,1.0,17,15,0.04
16,5,H1,True,1.0,7,7,0.06
17,5,H0,True,3.0,277,194,0.62
17,5,H1,True,3.0,16,14,0.14
18,5,H0,True,3.0,159,110,0.4
18,5,H1,True,3.0,21,18,0.19
19,5,H0,True,1.0,15,13,0.03
19,5,H1,True,1.0,6,6,0.06
20,5,H0,True,3.0,141,100,0.32
20,5,H1,True,3.0,15,13,0.15
21,5,H0,True,3.0,111,78,0.26
21,5,H1,True,3.0,15,13,0.13
22,5,H0,True,5.0,695,420,1.72
22,5,H1,True,5.0,45,35,0.36
23,5,H0,True,3.0,162,115,0.35
23,5,H1,True,3.0,17,15,0.13
24,5,H0,True,3.0,192,132,0.39
24,5,H1,True,3.0,25,21,0.2
25,10,H0,True,4.0,243,170,0.54
25,10,H1,True,4.0,23,19,0.18
26,10,H0,True,2.0,72,56,0.14
26,10,H1,True,2.0,11,10,0.09
27,10,H0,True,8.0,16092,8365,50.33
27,10,H1,True,8.0,426,274,3.37
28,10,H0,True,6.0,2643,1466,6.75
28,10,H1,True,6.0,50,37,0.43
29,10,H0,True,4.0,199,141,0.48
29,10,H1,True,4.0,17,14,0.13
30,10,H0,True,6.0,1169,696,2.76
30,10,H1,True,6.0,41,32,0.32
31,10,H0,True,2.0,72,56,0.14
31,10,H1,True,2.0,11,10,0.09
32,10,H0,True,4.0,273,180,0.66
32,10,H1,True,4.0,32,25,0.25
33,10,H0,True,4.0,359,236,0.89
33,10,H1,True,4.0,21,17,0.18
34,10,H0,True,2.0,72,56,0.16
34,10,H1,True,2.0,11,10,0.09
35,10,H0,True,4.0,243,170,0.52
35,10,H1,True,4.0,23,19,0.18
36,10,H0,True,6.0,2066,1164,5.61
36,10,H1,True,6.0,30,25,0.26
37,10,H0,True,0.0,0,0,0.0
37,10,H1,True,0.0,0,0,0.01
38,10,H0,True,2.0,56,45,0.11
38,10,H1,True,2.0,11,10,0.09
39,10,H0,True,4.0,252,165,0.59
39,10,H1,True,4.0,26,20,0.22
40,10,H0,True,2.0,72,56,0.16
40,10,H1,True,2.0,11,10,0.1
41,10,H0,True,2.0,56,45,0.13
41,10,H1,True,2.0,11,10,0.11
42,10,H0,True,4.0,431,258,1.31
42,10,H1,True,4.0,36,29,0.36
43,10,H0,True,4.0,359,236,1.05
43,10,H1,True,4.0,21,17,0.17
